Throughput
16.4
15.4
15.9
15.7
17.4
17.0
14.3
17.3
14.5
15.2
17.0
16.6
14.5
15.5
15.1
16.5
17.3
17.4
17.9
17.5
15.7
15.3
16.0
17.6
16.7
16.0
16.0
16.1
16.2
17.5
