Latency
28
48
36
49
20
22
40
35
29
21
33
18
39
22
20
42
39
38
51
28
29
37
20
32
39
39
22
25
23
51
45
36
16
24
14
36
24
41
37
42
14
54
23
19
18
23
27
12
43
23
17
36
35
16
43
20
55
46
33
29
41
21
24
49
20
79
53
47
37
35
14
30
29
54
31
46
31
17
36
16
39
23
12
50
