Throughput
23.8
24.4
34.5
32.3
25.0
34.5
27.0
31.3
32.3
34.5
38.5
27.0
25.6
34.5
23.3
37.0
25.0
76.9
26.3
25.6
23.8
37.0
30.3
20.0
34.5
90.9
20.8
32.3
33.3
16.7
52.6
90.9
19.6
35.7
24.4
34.5
33.3
18.5
62.5
25.6
33.3
37.0
34.5
22.2
34.5
32.3
24.4
25.0
55.6
23.8
58.8
23.3
20.4
55.6
43.5
19.6
38.5
29.4
20.8
50.0
8.7
100.0
142.9
9.8
90.9
125.0
125.0
100.0
83.3
21.3
24.4
62.5
35.7
18.2
40.0
55.6
23.8
58.8
23.3
20.4
55.6
43.5
19.6
38.5
29.4
20.8
50.0
8.7
100.0
142.9
9.8
90.9
125.0
125.0
100.0
83.3
21.3
24.4
62.5
35.7
18.2
40.0
22.7
31.3
33.3
71.4
17.9
66.7
22.7
25.0
