Latency
27.0
28.6
38.5
30.3
27.0
32.3
33.3
22.2
38.5
31.3
26.3
33.3
28.6
30.3
33.3
32.3
25.6
32.3
31.3
23.3
40.0
30.3
28.6
32.3
34.5
25.0
31.3
31.3
23.8
34.5
37.0
26.3
34.5
30.3
25.6
29.4
33.3
25.6
37.0
32.3
25.6
33.3
22.7
35.7
34.5
25.6
33.3
34.5
22.2
30.3
40.0
25.6
34.5
32.3
24.4
35.7
32.3
26.3
33.3
31.3
23.8
37.0
32.3
23.8
33.3
38.5
23.8
34.5
37.0
23.8
27.8
37.0
25.0
35.7
35.7
25.0
33.3
33.3
21.7
28.6
43.5
26.3
34.5
33.3
