Latency
530
551
534
535
545
543
553
538
534
532
529
536
543
549
547
530
544
517
525
534
535
533
529
548
544
526
526
544
535
564
544
525
534
544
540
543
534
559
533
532
532
551
528
544
542
515
534
566
533
544
521
534
554
518
522
537
531
540
545
534
620
599
566
618
622
586
561
543
504
521
538
521
520
543
521
544
544
521
510
543
512
531
543
530
561
543
542
556
537
532
537
528
532
536
554
523
523
545
532
536
522
520
536
534
620
598
575
534
543
534
